"PERIODNUM","PRODITEMID","PRODQTY","PRODVALUE","PRODINVENTDIMID","COSTRESTORETYPE","PRODUCTIONLINEID","PRODITEMGROUPID","PRODUNITVALUE","DATAAREAID","RECVERSION","PARTITION","RECID","MODIFIEDDATETIME","MODIFIEDBY","CREATEDDATETIME","CREATEDBY"
"202112","10.01.001","9031.088","158468.79","MDM-000461","1","A002","Y01","17.547031","qts","1666020730","5637144576","5637144576","23/6/2022 04:52:04","?","23/6/2022 04:52:04","?"
"202112","10.02.007","269.96","3635.94","MDM-000561","1","A003","Y02","13.468439","qts","1666020730","5637144576","5637144577","23/6/2022 04:52:04","?","23/6/2022 04:52:04","?"
"202112","P101","3566.469","123746.86","MDM-000611","1","1211","C05","34.697304","qts","1666020730","5637144576","5637144578","23/6/2022 04:52:04","?","23/6/2022 04:52:04","?"
"202112","P201","155876.68","43262445.35","MDM-000174","1","1215","C06","277.542768","qts","1666020730","5637144576","5637144579","23/6/2022 04:52:04","?","23/6/2022 04:52:04","?"
"202112","P312","3415.97","963751.15","MDM-000125","1","1225","C01","282.131034","qts","1666020730","5637144576","5637144580","23/6/2022 04:52:04","?","23/6/2022 04:52:04","?"
"202112","P401","4313.93","839557.55","MDM-000125","1","1225","C01","194.615478","qts","1666020730","5637144576","5637144581","23/6/2022 04:52:04","?","23/6/2022 04:52:04","?"
"202112","P401","26579.41","10268238.02","MDM-000172","1","1225","C01","386.323022","qts","1666020730","5637144576","5637144582","23/6/2022 04:52:04","?","23/6/2022 04:52:04","?"
"202112","P402","6272.06","2159654.19","MDM-000125","1","1225","C01","344.329325","qts","1666020730","5637144576","5637144583","23/6/2022 04:52:04","?","23/6/2022 04:52:04","?"
"202112","P402","561.98","156211.57","MDM-000172","1","1225","C01","277.966422","qts","1666020730","5637144576","5637144584","23/6/2022 04:52:04","?","23/6/2022 04:52:04","?"
"202112","P408","1369.75","364605.54","MDM-000125","1","1225","C01","266.184004","qts","1666020730","5637144576","5637144585","23/6/2022 04:52:04","?","23/6/2022 04:52:04","?"
"202201","P401","8066.5","2958314.6","MDM-000391","1","2325","C01","366.740792","qxh","2140521312","5637144576","5637149861","23/6/2022 04:52:04","?","23/6/2022 04:52:04","?"
"202201","P401","12745.25","4616482.09","MDM-000391","1","2326","C01","362.211968","qxh","2140521312","5637144576","5637149862","23/6/2022 04:52:04","?","23/6/2022 04:52:04","?"
"202201","P410","369.25","138047.31","MDM-000391","1","2325","C01","373.858659","qxh","2140521312","5637144576","5637149863","23/6/2022 04:52:04","?","23/6/2022 04:52:04","?"
"202201","H05N023","54","49791.19","MDM-000341","1","QHB_2#JBZ","C02","922.059074","qhb","962843338","5637144576","5637146842","23/6/2022 04:52:04","?","23/6/2022 04:52:04","?"
"202201","H07N023","504","480018.17","MDM-000341","1","QHB_2#JBZ","C02","952.417003","qhb","962843338","5637144576","5637146843","23/6/2022 04:52:04","?","23/6/2022 04:52:04","?"
"202201","H08N023","247","239814.9","MDM-000341","1","QHB_2#JBZ","C02","970.910526","qhb","962843338","5637144576","5637146844","23/6/2022 04:52:04","?","23/6/2022 04:52:04","?"
"202201","10.10.001","13.5","38720.94","MDM-000071","1","QPA_1#搅拌站","Y10","2868.217777","qpa","1651447419","5637144576","5637149852","23/6/2022 04:52:04","?","23/6/2022 04:52:04","?"
"202201","10.10.001","27.06","6751.17","MDM-000071","1","QPA_2#搅拌站","Y10","249.488913","qpa","1651447419","5637144576","5637149853","23/6/2022 04:52:04","?","23/6/2022 04:52:04","?"
"202201","H04N001","27","86801.16","MDM-000212","1","QPA_1#搅拌站","C02","3214.857777","qpa","1651447419","5637144576","5637149854","23/6/2022 04:52:04","?","23/6/2022 04:52:04","?"
"202201","H05N039","36","34583.99","MDM-000341","1","QPA_2#搅拌站","C02","960.666388","qpa","1651447419","5637144576","5637149855","23/6/2022 04:52:04","?","23/6/2022 04:52:04","?"
"202201","H07N098","72","258959.52","MDM-000212","1","QPA_1#搅拌站","C02","3596.66","qpa","1651447419","5637144576","5637149856","23/6/2022 04:52:04","?","23/6/2022 04:52:04","?"
"202201","H07N098","168","110949.18","MDM-000341","1","QPA_2#搅拌站","C02","660.411785","qpa","1651447419","5637144576","5637149857","23/6/2022 04:52:04","?","23/6/2022 04:52:04","?"
"202201","P401","7199.96","3286679.95","MDM-000172","1","2026","C01","456.485862","qmh","1554297884","5637144576","5637149102","23/6/2022 04:52:04","?","23/6/2022 04:52:04","?"
"202201","10.01.001","32100","1010343.96","MDM-000233","1","A011","Y01","31.474889","qcx","1806470865","5637144576","5637148347","23/6/2022 04:52:04","?","23/6/2022 04:52:04","?"
"202201","10.01.014","32100","867593.28","MDM-000233","1","A001","Y01","27.027828","qcx","1806470865","5637144576","5637148348","23/6/2022 04:52:04","?","23/6/2022 04:52:04","?"
"202201","G301","900","42578.74","MDM-000144","1","A20","C09","47.309711","qcx","1806470865","5637144576","5637148349","23/6/2022 04:52:04","?","23/6/2022 04:52:04","?"
"202201","G311","4500","212894","MDM-000144","1","A20","C09","47.309777","qcx","1806470865","5637144576","5637148350","23/6/2022 04:52:04","?","23/6/2022 04:52:04","?"
"202201","G321","1000","47309.54","MDM-000144","1","A20","C09","47.30954","qcx","1806470865","5637144576","5637148351","23/6/2022 04:52:04","?","23/6/2022 04:52:04","?"
"202201","G331","13500","639332.72","MDM-000144","1","A20","C09","47.357979","qcx","1806470865","5637144576","5637148352","23/6/2022 04:52:04","?","23/6/2022 04:52:04","?"
"202201","G351","2200","97422.81","MDM-000144","1","A20","C09","44.283095","qcx","1806470865","5637144576","5637148353","23/6/2022 04:52:04","?","23/6/2022 04:52:04","?"
"202201","P312","2570.82","1368249.02","MDM-000123","1","1732","C01","532.2228","qcx","1806470865","5637144576","5637148354","23/6/2022 04:52:04","?","23/6/2022 04:52:04","?"
"202201","P312","3410.1","1794442.2","MDM-000172","1","1730","C01","526.213952","qcx","1806470865","5637144576","5637148355","23/6/2022 04:52:04","?","23/6/2022 04:52:04","?"
"202201","P401","76562.98","20417320.86","MDM-000123","1","1733","C01","266.673539","qcx","1806470865","5637144576","5637148356","23/6/2022 04:52:04","?","23/6/2022 04:52:04","?"
"202201","P401","3921.53","927511.85","MDM-000172","1","1733","C01","236.517851","qcx","1806470865","5637144576","5637148357","23/6/2022 04:52:04","?","23/6/2022 04:52:04","?"
"202201","P408","2214.07","648006.55","MDM-000123","1","1733","C01","292.676631","qcx","1806470865","5637144576","5637148358","23/6/2022 04:52:04","?","23/6/2022 04:52:04","?"
"202201","P312","1965","649022.05","MDM-000091","1","2425","C01","330.291119","qlq","1700498586","5637144576","5637150608","23/6/2022 04:52:04","?","23/6/2022 04:52:04","?"
"202201","P312","1255","414644.6","MDM-000091","1","2426","C01","330.394103","qlq","1700498586","5637144576","5637150609","23/6/2022 04:52:04","?","23/6/2022 04:52:04","?"
"202201","P401","5136","1713899.72","MDM-000091","1","2425","C01","333.703216","qlq","1700498586","5637144576","5637150610","23/6/2022 04:52:04","?","23/6/2022 04:52:04","?"
"202201","P401","12199","4105709.6","MDM-000091","1","2426","C01","336.56116","qlq","1700498586","5637144576","5637150611","23/6/2022 04:52:04","?","23/6/2022 04:52:04","?"
"202201","P401","12907","4497512.42","MDM-000172","1","2425","C01","348.455289","qlq","1700498586","5637144576","5637150612","23/6/2022 04:52:04","?","23/6/2022 04:52:04","?"
"202201","P401","16556","5793158.68","MDM-000172","1","2426","C01","349.912942","qlq","1700498586","5637144576","5637150613","23/6/2022 04:52:04","?","23/6/2022 04:52:04","?"
"202309","H02N017","82","16288.55","MDM-000212","1","QST_1#JBZ","C02","198.640853","qst","952802595","5637144576","5637277763","29/9/2023 06:34:05","20121185","29/9/2023 06:34:05","20121185"
"202309","H02N017","28","5516.24","MDM-000341","1","QST_2#JBZ","C02","197.008571","qst","952802595","5637144576","5637277764","29/9/2023 06:34:05","20121185","29/9/2023 06:34:05","20121185"
"202309","H03N001","570","120751.06","MDM-000212","1","QST_1#JBZ","C02","211.843964","qst","952802595","5637144576","5637277765","29/9/2023 06:34:05","20121185","29/9/2023 06:34:05","20121185"
"202201","P312","2947.16","817038.12","MDM-000125","1","1225","C01","277.228966","qts","1230020909","5637144576","5637149858","23/6/2022 04:52:04","?","23/6/2022 04:52:04","?"
"202201","P401","129.01","39367.15","MDM-000125","1","1225","C01","305.14805","qts","1230020909","5637144576","5637149859","23/6/2022 04:52:04","?","23/6/2022 04:52:04","?"
"202201","P401","33789.54","10485797.22","MDM-000172","1","1225","C01","310.326723","qts","1230020909","5637144576","5637149860","23/6/2022 04:52:04","?","23/6/2022 04:52:04","?"
"202201","10.01.014","4278.84","63383.71","MDM-000233","1","A001","Y01","14.813292","qpl","1958293925","5637144576","5637151364","23/6/2022 04:52:04","?","23/6/2022 04:52:04","?"
"202201","10.01.031","2082","30841.25","MDM-000233","1","A011","Y01","14.81328","qpl","1958293925","5637144576","5637151365","23/6/2022 04:52:04","?","23/6/2022 04:52:04","?"
"202201","G301","733.72","17891.04","MDM-000501","1","A021","C09","24.384015","qpl","1958293925","5637144576","5637151366","23/6/2022 04:52:04","?","23/6/2022 04:52:04","?"
"202201","G311","703.26","17203.03","MDM-000501","1","A021","C09","24.461834","qpl","1958293925","5637144576","5637151367","23/6/2022 04:52:04","?","23/6/2022 04:52:04","?"
"202201","G321","579.9","14102.71","MDM-000501","1","A021","C09","24.31921","qpl","1958293925","5637144576","5637151368","23/6/2022 04:52:04","?","23/6/2022 04:52:04","?"
"202201","G322","5.86","132.34","MDM-000501","1","A021","C09","22.583617","qpl","1958293925","5637144576","5637151369","23/6/2022 04:52:04","?","23/6/2022 04:52:04","?"
"202201","G361","174.1","4260.31","MDM-000501","1","A021","C09","24.470476","qpl","1958293925","5637144576","5637151370","23/6/2022 04:52:04","?","23/6/2022 04:52:04","?"
